id,sequence,name,display_type,create_variant
__export__.product_attribute_4,0,Force,Radio,Instantly
__export__.product_attribute_5,0,Ribbon/Medal,Radio,Instantly
__export__.product_attribute_6,0,Size,Radio,Instantly
