id,name
__export__.ribbon_extension_1,0
__export__.ribbon_extension_2,1
__export__.ribbon_extension_3,2
__export__.ribbon_extension_4,3
__export__.ribbon_extension_5,4
__export__.ribbon_extension_6,5
__export__.ribbon_extension_7,6
__export__.ribbon_extension_8,Club
__export__.ribbon_extension_9,Sarada Bar
