id,name,id,attribute_id/id
__export__.ribbon_force_4,Police,__export__.ribbon_force_4,__export__.product_attribute_value_4
__export__.ribbon_force_5,Army,__export__.ribbon_force_5,__export__.product_attribute_value_5
__export__.ribbon_force_6,Ansar,__export__.ribbon_force_6,__export__.product_attribute_value_7
__export__.ribbon_force_7,BGB,__export__.ribbon_force_7,__export__.product_attribute_value_6
__export__.ribbon_force_8,Navy,__export__.ribbon_force_8,__export__.product_attribute_value_10
__export__.ribbon_force_9,Coast Guard,__export__.ribbon_force_9,__export__.product_attribute_value_12
__export__.ribbon_force_10,Air Force,__export__.ribbon_force_10,__export__.product_attribute_value_11
